Time,State,Emotion,Yaw,Pitch,Roll
59.69s,Attentive,sad,0,4,7
59.80s,Attentive,neutral,-4,4,7
59.91s,Attentive,sad,0,3,6
60.02s,Attentive,sad,0,3,6
60.12s,Attentive,sad,-3,3,6
60.23s,Attentive,neutral,0,4,7
60.34s,Attentive,neutral,1,2,7
60.44s,Attentive,neutral,0,4,7
60.55s,Attentive,sad,0,2,7
60.65s,Attentive,sad,0,3,7
60.76s,Attentive,neutral,1,4,7
60.86s,Attentive,sad,-1,3,7
60.97s,Attentive,sad,0,3,7
61.07s,Attentive,sad,-2,2,6
61.18s,Attentive,neutral,-2,5,6
61.29s,Attentive,neutral,-4,3,6
61.39s,Attentive,neutral,0,2,6
61.50s,Attentive,neutral,-2,2,6
61.63s,Attentive,neutral,-1,2,6
61.73s,Attentive,neutral,-3,3,7
61.83s,Attentive,happy,-2,2,7
61.94s,Attentive,sad,-4,2,6
62.05s,Attentive,neutral,-3,2,6
62.15s,Attentive,neutral,2,4,8
62.25s,Attentive,neutral,-1,2,7
62.36s,Attentive,neutral,-2,0,6
62.46s,Attentive,neutral,-2,0,7
62.56s,Attentive,neutral,-1,2,7
62.69s,Attentive,neutral,0,2,7
62.80s,Attentive,neutral,0,3,7
62.90s,Attentive,sad,-3,2,7
63.01s,Attentive,sad,-1,2,8
63.11s,Attentive,neutral,-1,3,6
63.21s,Attentive,neutral,0,2,7
63.32s,Attentive,sad,0,3,6
63.42s,Attentive,sad,-2,1,6
63.53s,Attentive,neutral,-2,2,6
63.63s,Attentive,neutral,0,1,6
63.74s,Attentive,neutral,-1,1,6
63.84s,Attentive,neutral,0,2,7
63.95s,Attentive,neutral,-1,1,6
64.05s,Attentive,neutral,-3,1,5
64.16s,Attentive,sad,-1,3,6
64.26s,Attentive,sad,0,2,6
64.37s,Attentive,sad,-1,2,5
64.47s,Attentive,sad,0,3,6
64.58s,Attentive,happy,-4,1,6
64.68s,Attentive,happy,0,2,6
64.80s,Attentive,happy,-3,1,5
64.90s,Attentive,happy,-3,1,6
65.00s,Attentive,happy,-3,1,5
65.11s,Attentive,sad,-3,0,6
65.22s,Attentive,neutral,-3,2,5
65.32s,Attentive,neutral,-4,1,5
65.43s,Attentive,neutral,-2,1,5
65.55s,Attentive,sad,2,2,7
65.67s,Attentive,sad,-1,1,7
65.78s,Attentive,sad,-2,1,6
65.88s,Attentive,happy,-3,0,6
65.99s,Attentive,sad,0,0,7
66.09s,Attentive,happy,-1,-1,6
66.19s,Attentive,happy,-4,-1,7
66.30s,Attentive,happy,-3,-3,6
66.41s,Attentive,sad,-4,0,6
66.51s,Attentive,sad,-5,-1,6
66.61s,Attentive,sad,-7,-2,7
66.72s,Attentive,happy,-1,0,7
66.83s,Attentive,happy,-1,0,8
66.93s,Attentive,neutral,-4,-1,7
67.04s,Attentive,sad,-1,0,7
67.14s,Attentive,sad,-1,0,7
67.25s,Attentive,sad,-4,0,7
67.35s,Attentive,sad,1,1,8
67.46s,Attentive,sad,-2,0,7
67.56s,Attentive,sad,0,0,7
67.67s,Attentive,sad,-3,0,6
