Time,State,Emotion,Yaw,Pitch,Roll
20.17s,Attentive,neutral,-21,11,-4
20.27s,Attentive,neutral,-19,11,-3
20.34s,Attentive,neutral,-19,11,-3
20.41s,Attentive,neutral,-18,10,-5
20.48s,Attentive,neutral,-20,10,-4
20.59s,Attentive,neutral,-21,9,-4
20.66s,Attentive,neutral,-23,13,-8
20.78s,Attentive,happy,-16,14,-6
20.85s,Attentive,happy,-16,14,-6
20.93s,Attentive,neutral,-16,14,-6
20.99s,Attentive,neutral,-17,15,-7
21.07s,Attentive,neutral,-16,15,-8
21.13s,Attentive,neutral,-16,15,-8
21.21s,Attentive,neutral,-16,16,-9
21.28s,Attentive,neutral,-17,16,-9
21.37s,Attentive,neutral,-23,16,-9
21.44s,Attentive,neutral,-23,16,-9
21.51s,Not Attentive,neutral,-14,17,-9
21.58s,Not Attentive,neutral,-15,19,-10
21.68s,Not Attentive,neutral,-14,18,-11
21.74s,Not Attentive,neutral,-14,18,-11
21.91s,Not Attentive,neutral,-17,16,-11
21.98s,Attentive,neutral,-15,16,-12
22.08s,Attentive,neutral,-14,16,-11
22.15s,Attentive,neutral,-14,16,-11
22.21s,Attentive,neutral,-13,17,-11
22.28s,Attentive,neutral,-12,17,-11
22.38s,Attentive,neutral,-14,16,-10
22.44s,Attentive,neutral,-14,16,-10
22.51s,Attentive,neutral,-14,16,-10
22.57s,Attentive,neutral,-13,15,-10
22.69s,Attentive,neutral,-15,17,-10
22.76s,Attentive,neutral,-15,17,-10
22.84s,Attentive,neutral,-16,15,-11
22.93s,Not Attentive,neutral,-17,15,-12
23.03s,Not Attentive,neutral,-14,17,-11
23.10s,Attentive,neutral,-14,15,-10
23.18s,Attentive,neutral,-16,16,-11
23.24s,Attentive,neutral,-16,16,-11
23.31s,Attentive,neutral,-14,17,-11
23.38s,Attentive,neutral,-14,18,-11
23.49s,Attentive,neutral,-12,19,-11
23.56s,Attentive,neutral,-12,19,-11
23.62s,Attentive,neutral,-13,18,-11
23.69s,Attentive,neutral,-16,17,-12
23.78s,Attentive,neutral,-21,13,-11
23.86s,Attentive,neutral,-21,13,-11
23.93s,Attentive,neutral,-21,15,-12
24.01s,Attentive,neutral,-17,17,-12
24.09s,Attentive,neutral,-14,17,-11
24.19s,Attentive,neutral,-17,17,-12
24.25s,Attentive,neutral,-17,17,-12
24.32s,Attentive,neutral,-16,17,-11
24.38s,Attentive,neutral,-14,16,-10
24.48s,Attentive,neutral,-15,16,-10
24.55s,Attentive,neutral,-15,16,-10
24.62s,Attentive,neutral,-16,16,-11
24.69s,Attentive,neutral,-18,16,-11
24.77s,Attentive,neutral,-20,15,-11
24.84s,Attentive,neutral,-20,15,-11
24.91s,Attentive,neutral,-15,16,-10
24.98s,Attentive,neutral,-17,16,-12
25.05s,Attentive,neutral,-17,16,-12
25.12s,Attentive,neutral,-17,17,-11
25.18s,Attentive,neutral,-19,18,-11
25.28s,Attentive,neutral,-15,17,-9
25.35s,Attentive,neutral,-15,17,-9
25.41s,Attentive,neutral,-14,16,-8
25.48s,Attentive,neutral,-13,16,-8
25.58s,Attentive,neutral,-13,14,-8
25.65s,Attentive,neutral,-13,14,-8
25.71s,Attentive,neutral,-12,15,-7
25.78s,Attentive,neutral,-12,16,-8
25.85s,Attentive,neutral,-12,16,-8
25.92s,Attentive,neutral,-14,16,-9
25.98s,Attentive,neutral,-12,16,-8
26.10s,Attentive,neutral,-10,16,-8
26.17s,Attentive,neutral,-10,16,-8
26.23s,Attentive,neutral,-13,15,-8
26.30s,Attentive,neutral,-13,16,-8
26.38s,Attentive,neutral,-13,17,-9
26.45s,Attentive,neutral,-13,17,-9
26.51s,Attentive,neutral,-17,16,-10
26.58s,Not Attentive,neutral,-8,18,-7
26.65s,Not Attentive,neutral,-8,18,-7
26.71s,Attentive,neutral,-10,16,-7
26.78s,Attentive,neutral,-11,18,-8
